1,Scott Pilgrim vs. The World: The Game - Complete Edition,Ubisoft,05 January 2023,{PC},Action,"Scott Pilgrim vs. The World: The Game - Complete Edition is a refreshed version of a retro-style beat'em up based on the comic book series by Bryan Lee O'Malley. The game offers a wide range of characters with unique combat styles, solo and co-op modes.",https://www.gamepressure.com//games/scott-pilgrim-vs-the-world-the-game-complete-edition/z05d34#pc,https://cdn.gracza.pl/galeria/gry13/grupy/459373031.jpg,{Steam}
2,Tom Clancy's Ghost Recon: Breakpoint,Ubisoft,23 January 2023,{PC},Action,"Third-person shooter set in the open world, focused on fun in the co-op mode. This is a continuation of Tom Clancy's Ghost Recon: Wildlands, released by Ubisoft in 2017.",https://www.gamepressure.com//games/tom-clancys-ghost-recon-breakpoint/z7578c#pc,https://cdn.gracza.pl/galeria/gry13/grupy/196140968.jpg,{Steam}
3,Watch Dogs: Legion - Bloodline,Ubisoft,26 January 2023,{PC},Action,"Bloodline is a large story add-on for Watch Dogs: Legion, an action game from Ubisoft. The DLC tells the story of two characters from previous installments of the series - Aiden Pearce and Wrench.",https://www.gamepressure.com//games/watch-dogs-legion-bloodline/z35fb6#pc,https://cdn.gracza.pl/galeria/gry13/grupy/376612140.jpg,{Steam}
4,Watch Dogs: Legion,Ubisoft,26 January 2023,{PC},Action,"The third installment of the popular series of third-person action games with an open world, in which we play the role of a hacker fighting against the Central Operating System (ctOS) that is invigilating the citizens.",https://www.gamepressure.com//games/watch-dogs-3/z65395#pc,https://cdn.gracza.pl/galeria/gry13/grupy/82766468.jpg,{Steam}
5,Final Fantasy Pixel Remaster,Square Enix,May 2023,"{PS4, Switch}",RPG,"A compilation of the first six installments of the legendary jRPG series, Final Fantasy. The Pixel Remaster refreshes the classic series by allowing you to experience them again, offering new pixel-art and various improvements.",https://www.gamepressure.com//games/final-fantasy-pixel-remaster/z45fd5,https://cdn.gracza.pl/galeria/gry13/grupy/192589703.jpg,{Digital}
6,Final Fantasy XVI,Square Enix,22 June 2023,{PS5},RPG,"The sixteenth main part of the best-selling Japanese RPG series. In Final Fantasy XVI we find ourselves in a fantastic kingdom, which has to deal with the threat from the mighty Plague.",https://www.gamepressure.com//games/final-fantasy-xvi/ze5d1d#ps5,https://cdn.gracza.pl/galeria/gry13/grupy/435690828.jpg,{PSN}
7,Assassin's Creed: Mirage,Ubisoft,2023,"{PC, PS4, XONE, PS5, XSX}",Action,"A side installment of the series, focusing heavily on stealth action. Assassin's Creed: Rift is a much smaller game than Origins, Odyssey or Valhalla, returning, as it were, to the roots of Ubisoft's series.",https://www.gamepressure.com//games/assassins-creed-rift/ze63da,https://cdn.gracza.pl/galeria/gry13/grupy/1422042250.jpg,"{Uplay, Digital}"
8,Dragon Quest III HD-2D Remake,Square Enix,2023,{PS4},RPG,"Dragon Quest III HD-2D Remake is, according to the title, a remake of the classic 8-bit jRPG game. Compared to the original, the game primarily improves the graphics, offering a very attractive visual combination of 3D locations and 2D characters.",https://www.gamepressure.com//games/dragon-quest-iii-hd-2d-remake/zc5fa0#ps4,https://cdn.gracza.pl/galeria/gry13/22498781.jpg,{Digital}
9,Final Fantasy VII Ever Crisis,Square Enix,2023,"{AND, iOS}",RPG,Final Fantasy VII Ever Crisis is a mobile game presenting events known from all games set in the FF7 universe and offers a similar gameplay model to the mentioned title. The game was released in episodic form. It was developed by the Japanese company Square Enix.,https://www.gamepressure.com//games/final-fantasy-vii-ever-crisis/z65e93,https://cdn.gracza.pl/galeria/gry13/grupy/192602562.jpg,{Digital}
10,Just Cause Mobile,Square Enix,2023,"{AND, iOS}",Action,"Spin-off of the popular Just Cause series, designed for mobile devices. As a self-created hero, we face the Darkwater organisation in campaigns and co-op missions, or other players in multiplayer mode.",https://www.gamepressure.com//games/just-cause-mobile/zf5ddb,https://cdn.gracza.pl/galeria/gry13/grupy/438101171.jpg,{Digital}
